page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year
1678,Spider-Man (Peter Parker),\/Spider-Man_(Peter_Parker),Secret Identity,Good,Hazel Eyes,Brown Hair,Male,NA,Living Characters,4043,Aug-62,1962
7139,Captain America (Steven Rogers),\/Captain_America_(Steven_Rogers),Public Identity,Good,Blue Eyes,White Hair,Male,NA,Living Characters,3360,Mar-41,1941
64786,Wolverine (James  Howlett),\/Wolverine_(James_%22Logan%22_Howlett),Public Identity,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,3061,Oct-74,1974
1868,Iron Man (Anthony  Stark),\/Iron_Man_(Anthony_%22Tony%22_Stark),Public Identity,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,2961,Mar-63,1963
2460,Thor (Thor Odinson),\/Thor_(Thor_Odinson),No Dual Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,2258,Nov-50,1950
2458,Benjamin Grimm ,\/Benjamin_Grimm_(Earth-616),Public Identity,Good,Blue Eyes,No Hair,Male,NA,Living Characters,2255,Nov-61,1961
2166,Reed Richards ,\/Reed_Richards_(Earth-616),Public Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,2072,Nov-61,1961
1833,Hulk (Robert Bruce Banner),\/Hulk_(Robert_Bruce_Banner),Public Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,2017,May-62,1962
29481,Scott Summers ,\/Scott_Summers_(Earth-616),Public Identity,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,1955,Sep-63,1963
1837,Jonathan Storm ,\/Jonathan_Storm_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,1934,Nov-61,1961
15725,Henry McCoy ,\/Henry_McCoy_(Earth-616),Public Identity,Good,Blue Eyes,Blue Hair,Male,NA,Living Characters,1825,Sep-63,1963
1863,Susan Storm ,\/Susan_Storm_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,1713,Nov-61,1961
7823,Namor McKenzie ,\/Namor_McKenzie_(Earth-616),No Dual Identity,Neutral,Green Eyes,Black Hair,Male,NA,Living Characters,1528,NA,NA
2614,Ororo Munroe ,\/Ororo_Munroe_(Earth-616),Public Identity,Good,Blue Eyes,White Hair,Female,NA,Living Characters,1512,May-75,1975
1803,Clinton Barton ,\/Clinton_Barton_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,1394,Sep-64,1964
1396,Matthew Murdock ,\/Matthew_Murdock_(Earth-616),Public Identity,Good,Blue Eyes,Red Hair,Male,NA,Living Characters,1338,Apr-64,1964
55534,Stephen Strange ,\/Stephen_Strange_(Earth-616),Public Identity,Good,Grey Eyes,Black Hair,Male,NA,Living Characters,1307,Jul-63,1963
1978,Mary Jane Watson ,\/Mary_Jane_Watson_(Earth-616),No Dual Identity,Good,Green Eyes,Red Hair,Female,NA,Living Characters,1304,Jun-65,1965
1872,John Jonah Jameson ,\/John_Jonah_Jameson_(Earth-616),No Dual Identity,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,1266,Mar-63,1963
35350,Robert Drake ,\/Robert_Drake_(Earth-616),Secret Identity,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,1265,Sep-63,1963
1557,Henry Pym ,\/Henry_Pym_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,1237,Jan-62,1962
65255,Charles Xavier ,\/Charles_Xavier_(Earth-616),Public Identity,Good,Blue Eyes,Bald,Male,NA,Deceased Characters,1233,Sep-63,1963
1073,Warren Worthington III ,\/Warren_Worthington_III_(Earth-616),Public Identity,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,1230,Sep-63,1963
1346,Piotr Rasputin ,\/Piotr_Rasputin_(Earth-616),Secret Identity,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,1162,May-75,1975
2512,Wanda Maximoff ,\/Wanda_Maximoff_(Earth-616),Public Identity,Good,Green Eyes,Brown Hair,Female,NA,Living Characters,1161,Mar-64,1964
1671,Nicholas Fury ,\/Nicholas_Fury_(Earth-616),No Dual Identity,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,1137,May-63,1963
1976,Janet van Dyne ,\/Janet_van_Dyne_(Earth-616),Public Identity,Good,Blue Eyes,Auburn Hair,Female,NA,Living Characters,1120,Jun-63,1963
65219,Jean Grey ,\/Jean_Grey_(Earth-616),Public Identity,Good,Green Eyes,Red Hair,Female,NA,Deceased Characters,1107,Sep-63,1963
6545,Natalia Romanova ,\/Natalia_Romanova_(Earth-616),Public Identity,Good,Green Eyes,Red Hair,Female,Bisexual Characters,Living Characters,1050,Apr-64,1964
2223,Kurt Wagner ,\/Kurt_Wagner_(Earth-616),Secret Identity,Good,Yellow Eyes,Blue Hair,Male,NA,Living Characters,1047,May-75,1975
2414,Vision ,\/Vision_(Earth-616),Secret Identity,Good,Gold Eyes,No Hair,Male,NA,Living Characters,1007,Oct-68,1968
8650,May Reilly ,\/May_Reilly_(Earth-616),No Dual Identity,Good,Blue Eyes,Grey Hair,Female,NA,Living Characters,1000,Aug-62,1962
