year,sex,characters
1939,Female,10
1939,Male,56
1940,Female,33
1940,Male,183
1941,Female,15
1941,Male,180
1942,Female,14
1942,Male,220
1943,Female,13
1943,Male,178
1944,Female,12
1944,Male,121
1945,Female,12
1945,Male,85
1946,Female,12
1946,Male,78
1947,Female,13
1947,Male,58
1948,Female,14
1948,Male,99
1949,Female,6
1949,Genderfluid,1
1949,Male,53
1950,Female,3
1950,Male,26
1951,Female,9
1951,Male,43
1952,Female,5
1952,Male,20
1953,Female,10
1953,Male,26
1954,Female,19
1954,Male,57
1955,Female,4
1955,Male,38
1956,Female,1
1956,Male,13
1957,Male,7
1958,Female,1
1958,Male,1
1959,Male,4
1960,Female,2
1960,Male,36
1961,Female,5
1961,Male,71
1962,Female,13
1962,Male,86
1963,Female,25
1963,Male,149
1964,Agender,1
1964,Female,23
1964,Male,144
1965,Female,21
1965,Male,132
1966,Agender,1
1966,Female,19
1966,Male,107
1967,Agender,2
1967,Female,10
1967,Male,102
1968,Female,18
1968,Male,111
1969,Agender,2
1969,Female,17
1969,Male,92
1970,Female,17
1970,Male,108
1971,Agender,1
1971,Female,16
1971,Male,93
1972,Female,34
1972,Male,140
1973,Female,50
1973,Male,181
1974,Female,50
1974,Male,180
1975,Female,66
1975,Male,209
1976,Female,57
1976,Male,238
1977,Agender,1
1977,Female,54
1977,Male,214
1978,Agender,1
1978,Female,32
1978,Male,146
1979,Agender,1
1979,Female,61
1979,Male,149
1980,Female,60
1980,Male,187
1981,Female,58
1981,Male,156
1982,Female,52
1982,Male,152
1983,Female,65
1983,Male,122
1984,Agender,1
1984,Female,61
1984,Male,143
1985,Female,69
1985,Male,171
1986,Female,66
1986,Male,168
1987,Female,45
1987,Male,129
1988,Female,81
1988,Male,215
1989,Female,71
1989,Male,237
1990,Female,92
1990,Male,243
1991,Female,92
1991,Male,232
1992,Agender,1
1992,Female,118
1992,Male,318
1993,Agender,4
1993,Female,125
1993,Male,401
1994,Agender,2
1994,Female,117
1994,Male,344
1995,Agender,1
1995,Female,79
1995,Male,210
1996,Agender,1
1996,Female,101
1996,Male,192
1997,Female,91
1997,Male,194
1998,Agender,2
1998,Female,76
1998,Male,190
1999,Female,72
1999,Male,147
2000,Agender,1
2000,Female,87
2000,Male,221
2001,Agender,1
2001,Female,73
2001,Male,148
2002,Female,85
2002,Male,214
2003,Agender,1
2003,Female,84
2003,Male,170
2004,Agender,1
2004,Female,108
2004,Male,168
2005,Female,112
2005,Genderfluid,1
2005,Male,211
2006,Agender,1
2006,Female,105
2006,Male,259
2007,Agender,1
2007,Female,82
2007,Male,209
2008,Agender,1
2008,Female,101
2008,Male,244
2009,Agender,1
2009,Female,85
2009,Male,199
2010,Female,110
2010,Male,200
2011,Agender,1
2011,Female,99
2011,Male,235
2012,Female,56
2012,Male,140
2013,Agender,5
2013,Female,54
2013,Male,97
