EntryID,LemmaID,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreqZ(native),SignFrequency(N-Native),PercentUnknown(Native),GlossConfirmation,PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),SubtLexUSLog10WF,LexicalClass,Compound,Initialized,FingerspelledLoanSign,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),SignType,MajorLocation,MinorLocation,SelectedFingers,Flexion,Movement,MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,SignTypeFrequency,MajorLocationFrequency,MinorLocationFrequency,SelectedFingersFrequency,FlexionFrequency,MovementFrequency,HandshapeFrequency,,Batch,Item,List,Repeat.1
1_dollar,1_dollar,3.034,1.5,-0.774768339,29,0.00%,2.944,1.474,-0.921592876,18,0.00%,0,,,1.074,2.025,-0.82,27,3.15,Noun,0,0,0,467.13,1101.1,633.97,1668.34,AsymmetricalDifferentHandshape,Hand,FingerBack,imrp,7,BackAndForth,739,28,9,178,216,21,455,82,354,72,,C,25,2,0
5_dollars,5_dollars,5.12,1.716,0.302070702,25,0.00%,5.214,1.847,0.360327631,14,0.00%,0,,,5.481,2.016,1.308,27,NA,Noun,0,0,0,433.77,767.43,333.67,1468.14,OneHanded,Neutral,Neutral,imrp,1,None,923,44,12,388,349,345,455,487,180,192,,B,62,1,0
8_hour,8_hour,4.267,1.574,-0.043379748,30,0.00%,4.444,1.723,-0.040810319,18,0.00%,0,,,2.654,2.025,-0.101,26,NA,Number,0,1,0,500.5,1234.57,734.07,2035.37,AsymmetricalDifferentHandshape,Hand,Palm,m,6,Circular,392,2,0,178,216,91,30,74,111,5,,C,55,2,0
9_oclock,9_oclock,4.133,1.592,-0.125906723,30,0.00%,4.778,1.478,0.139391841,18,0.00%,0,,,2.741,2.025,0.034,27,NA,Number,1,1,0,533.87,1267.94,734.07,2135.47,OneHanded,Hand,PalmBack,i,6,None,733,5,0,388,216,24,265,74,180,42,,C,80,2,0
about_1,about,5.48,1.475,0.522686756,25,0.00%,5.5,1.787,0.517788805,14,0.00%,0,,,2.067,2.045,-0.324,30,5.268,Minor,0,0,0,367.03,1067.73,700.7,1868.54,AsymmetricalSameHandshape,Hand,FingerTip,i,1,Circular,737,15,3,78,216,15,265,487,111,134,,B,72,2,0
about_2,about,3.522,1.534,-0.762398252,23,8.00%,3.417,1.564,-0.794374421,12,14.29%,0,,,2.133,2.045,-0.309,30,5.268,Minor,0,0,0,567.23,1501.5,934.27,2268.94,AsymmetricalDifferentHandshape,Hand,FingerTip,i,1,Circular,735,31,3,178,216,15,265,487,111,134,,B,3,2,0
accident,accident,4.12,1.833,-0.325682585,25,0.00%,4.071,1.592,-0.344426334,14,0.00%,0,,,3.3,2.045,0.263,30,3.618,Verb,0,0,0,400.4,1101.1,700.7,1634.97,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,Straight,870,88,12,332,349,345,455,487,177,192,,B,59,2,0
accomplish,accomplish,4.467,1.456,0.046516615,30,0.00%,4.611,1.42,0.024467548,18,0.00%,0,,,1.963,2.025,-0.398,27,2.48,Verb,0,0,0,600.6,1034.37,433.77,2002,SymmetricalOrAlternating,Head,Eye,i,1,Straight,875,27,12,332,300,61,265,487,177,134,,C,85,2,0
accountant,accountant,3.24,1.832,-0.381157042,25,0.00%,3.067,1.907,-0.424415532,15,0.00%,0,,,2.476,2.153,-0.496,21,2.5,Noun,1,0,0,400.4,1234.57,834.17,1601.6,AsymmetricalDifferentHandshape,Hand,Palm,i,6,Circular,525,11,2,178,216,91,265,74,111,42,,A,44,3,0
act,act,4.28,1.208,-0.214034888,25,0.00%,4.286,0.914,-0.225341098,14,0.00%,0,,,1.6,2.045,-0.539,30,3.746,Verb,0,0,0,333.67,900.9,567.23,1468.14,SymmetricalOrAlternating,Body,Clavicle,thumb,1,Circular,732,10,2,332,100,41,54,487,111,44,,B,38,2,0
